study;.guidance;.type_digital;condition_arm1;condition_arm2;instrument;rating;mean_arm1;sd_arm1;n_arm1;mean_arm2;sd_arm2;n_arm2;bl_mean_arm1;bl_sd_arm1;bl_n_arm1;bl_mean_arm2;bl_sd_arm2;bl_n_arm2;rand_arm1;rand_arm2;attr_arm1;attr_arm2;year;age_group;mean_age;percent_women;recruitment;target_group;rob;.g;.g_se
Gallego, 2011;ush;internet;cbt;wlc;PRCS;self-report;106,38;20,99;13;127,36;18,81;11;133,92;20,37;13;132,09;23,57;11;24;17;11;6;2011;adul;39,29;0,683;com;adul;High;1,011384966;0,43668287
Gallego, 2011;ush;internet;cbt;wlc;PSSEQ;self-report;43;8,94;12;37,5;9,18;8;33,67;8,13;12;31,75;8,78;8;24;17;11;6;2011;adul;39,29;0,683;com;adul;High;0,58308087;0,466475532
Gallego, 2011;ush;internet;cbt;wlc;SADS;self-report;12,3;2,26;10;11,4;3,2;10;9,8;5,14;10;8,2;5,94;10;24;17;11;6;2011;adul;39,29;0,683;com;adul;High;-0,311162918;0,45015425
Ivanova, 2016;gsh;internet + smartphone;3rd;wlc;LSAS-SR;self-report;51,04;22,45;37;68,98;22,73;39;68,27;21,9;37;69,62;21,92;39;37;39;4;2;2016;adul;35,29;0,645;com;adul;High;0,785933815;0,238360539
Ivanova, 2016;ush;internet + smartphone;3rd;wlc;LSAS-SR;self-report;54,87;23,24;37;68,98;22,73;39;70,19;21,9;37;69,62;21,92;39;37;39;4;2;2016;adul;35,29;0,645;com;adul;High;0,607780636;0,234837159
Johansson, 2017;gsh;internet;dyn;wlc;LSAS-SR;self-report;43,29;23,69;36;55,2;24;36;69,5;21;36;63,25;16,88;36;36;36;1;1;2017;adul;42,9;0,611;com;adul;Low;0,494094635;0,239349023
KŠhlke, 2019;ush;internet;cbt;wlc;LSAS-SR;self-report;58,82;20,45;100;72,51;22,17;100;77,61;16,87;100;76,96;19,57;100;100;100;9;6;2018;adul;26,7;0,62;com;stud/oth;Some concerns;0,639464385;0,145017535
KŠhlke, 2019;ush;internet;cbt;wlc;SIAS;self-report;36,72;13,86;100;44,36;14,05;100;51,47;11,23;100;48,71;12,92;100;100;100;9;6;2018;adul;26,7;0,62;com;stud/oth;Some concerns;0,545384999;0,14404612
KŠhlke, 2019;ush;internet;cbt;wlc;SPS;self-report;21,03;11,54;100;30,63;13,72;100;34,36;11,79;100;35,71;13,54;100;100;100;9;6;2018;adul;26,7;0,62;com;stud/oth;Some concerns;0,754407978;0,146402469
Kampmann, 2016;gsh;VR;Exposure;wlc;DASS anxiety;self-report;7,21;4,26;19;5,33;4,09;18;9,7;4,32;20;6,3;5,09;20;20;20;1;2;2016;adul;36,9;0,633;com;adul;Some concerns;-0,440233526;0,333050967
Kampmann, 2016;gsh;VR;Exposure;wlc;FNE-B;self-report;36,05;8,37;19;36,44;8,77;18;41,05;7,48;20;37,4;9,42;20;20;20;1;2;2016;adul;36,9;0,633;com;adul;Some concerns;0,044542981;0,3289607
Kampmann, 2016;gsh;VR;Exposure;wlc;LSAS-SR;self-report;55,74;18,65;19;58;16,01;18;73;17,25;20;64,35;21,87;20;20;20;1;2;2016;adul;36,9;0,633;com;adul;Some concerns;0,12695218;0,329263792
Kim, 2022;ush;VR;Exposure;wlc;FNE-B;self-report;38,62;8,46;28;43,1;7,39;24;45,63;5,76;28;45,107;7,83;24;28;24;3;8;2022;yadul;23,44;0,385;com;adul;High;0,552550552;0,283561637
Kim, 2022;ush;VR;Exposure;wlc;HADS-A;self-report;8,29;3,95;28;8,25;3,01;24;10,21;4,22;28;8,82;2,89;24;28;24;3;8;2022;yadul;23,44;0,385;com;adul;High;-0,011101929;0,278176516
